mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0042018890380859375,0.002854799591018156,0.0,0.0,3,1,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.00535879135131836,0.00027748577991307976,0.4119438648223877,0.006713541213976204,3,1,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.5873140172278778,0.5614722004698512,0.518025078369906,0.5156739811912225,0.5572100313479624,0.547939061721364,0.027405713509817183,18,0.7302644466209598,0.6425073457394711,0.6410105757931844,0.6384645515080297,0.6402271837054446,0.6584948206734179,0.03590848263482374
0.0018663406372070312,0.0004471858087555134,0.0,0.0,3,2,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.010693979263305665,0.00985441996876466,0.35688176155090334,0.12355566616712362,3,2,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6092404072043853,0.5990602975724354,0.5658307210031348,0.5744514106583072,0.5877742946708464,0.5872714262218219,0.015785582847231007,17,0.7153770812928502,0.6897159647404505,0.6825303564433999,0.6921269095182139,0.6831179005092048,0.6925736425008238,0.011988672693212441
0.0015890121459960938,3.136283811957138e-05,0.0,0.0,3,3,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005040788650512695,0.00020251783275198958,0.0,0.0,3,3,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.001483917236328125,3.925241695623307e-05,0.0,0.0,5,1,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.004984712600708008,0.0001023712409805947,0.40866622924804685,0.005622901741281994,5,1,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.5974941268598277,0.6053249804228661,0.5940438871473355,0.5940438871473355,0.5940438871473355,0.59699015374494,0.0043764091500699195,16,0.6591576885406464,0.676003917727718,0.6792009400705052,0.6764590677634156,0.6786133960047004,0.6738870020213972,0.007464934930437405
0.0015892982482910156,4.2102857961075826e-05,0.0,0.0,5,2,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005134868621826172,0.00010528100131341992,0.2725128173828125,0.0030293089921213574,5,2,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6264682850430697,0.6209866875489428,0.6136363636363636,0.622257053291536,0.6144200626959248,0.6195536904431674,0.004869130523242868,8,0.6875612144955926,0.6795298726738491,0.6782216999608304,0.68213866039953,0.6868390129259695,0.6828580920911543,0.003769823589479102
0.0015661239624023438,2.6871540261996328e-05,0.0,0.0,5,3,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.004878568649291992,4.362510167064845e-05,0.0,0.0,5,3,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.0015130043029785156,5.159876018474209e-05,0.0,0.0,7,1,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005021142959594727,0.00018724196089392735,0.4024238109588623,0.0011265362320437033,7,1,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.6139389193422083,0.6178543461237275,0.6144200626959248,0.609717868338558,0.5979623824451411,0.6107787157891119,0.006909336236166471,10,0.6667972575905975,0.6481880509304603,0.6537406972189581,0.6519780650215433,0.6517822169996083,0.6544972575522335,0.006409153592900576
0.0015780925750732422,3.997363182830474e-05,0.0,0.0,7,2,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005712318420410156,0.0012763322380466824,0.2855508804321289,0.016316883692264285,7,2,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6280344557556774,0.6382145653876272,0.6230407523510971,0.6418495297805643,0.6261755485893417,0.6314629703728615,0.007267873823565828,6,0.677179236043095,0.6705190989226248,0.6696043869956914,0.6731296513905209,0.6745005875440658,0.6729865921791996,0.002735644178135466
0.0015806198120117188,5.633878949833648e-05,0.0,0.0,7,3,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.004913997650146484,7.403185204559495e-05,0.0,0.0,7,3,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
