mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.002409505844116211,0.0009585113809176174,0.0,0.0,3,1,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.006142139434814453,0.0010965077868343523,0.5086168766021728,0.09564423807132184,3,1,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.5873140172278778,0.5614722004698512,0.518025078369906,0.5156739811912225,0.5572100313479624,0.547939061721364,0.027405713509817183,18,0.7302644466209598,0.6425073457394711,0.6410105757931844,0.6384645515080297,0.6402271837054446,0.6584948206734179,0.03590848263482374
0.0019639968872070313,0.0007327187608230452,0.0,0.0,3,2,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005588150024414063,0.0002782434341114915,0.2926332473754883,0.0228430217311355,3,2,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6092404072043853,0.5990602975724354,0.5658307210031348,0.5744514106583072,0.5877742946708464,0.5872714262218219,0.015785582847231007,17,0.7153770812928502,0.6897159647404505,0.6825303564433999,0.6921269095182139,0.6831179005092048,0.6925736425008238,0.011988672693212441
0.0016533851623535157,9.374361432451103e-05,0.0,0.0,3,3,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005112266540527344,0.0001926744665393998,0.0,0.0,3,3,MaxAbsScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.0015386581420898438,3.2747848519384154e-05,0.0,0.0,5,1,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.00544443130493164,0.0005299620090084131,0.4140522003173828,0.0195801832955386,5,1,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.5974941268598277,0.6053249804228661,0.5940438871473355,0.5940438871473355,0.5940438871473355,0.59699015374494,0.0043764091500699195,16,0.6591576885406464,0.676003917727718,0.6792009400705052,0.6764590677634156,0.6786133960047004,0.6738870020213972,0.007464934930437405
0.002212810516357422,0.0005631588837967563,0.0,0.0,5,2,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005600404739379883,0.0007165488697090753,0.4013175964355469,0.0991164239024708,5,2,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6264682850430697,0.6209866875489428,0.6136363636363636,0.622257053291536,0.6144200626959248,0.6195536904431674,0.004869130523242868,8,0.6875612144955926,0.6795298726738491,0.6782216999608304,0.68213866039953,0.6868390129259695,0.6828580920911543,0.003769823589479102
0.0016587734222412109,0.00012044812230022001,0.0,0.0,5,3,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.004900836944580078,8.320386214598549e-05,0.0,0.0,5,3,MaxAbsScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
0.0015282630920410156,4.1869723847129244e-05,0.0,0.0,7,1,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.007012701034545899,0.0037325929494581946,0.4584053516387939,0.0480412446280374,7,1,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'scaler': MaxAbsScaler()}",0.6139389193422083,0.6178543461237275,0.6144200626959248,0.609717868338558,0.5979623824451411,0.6107787157891119,0.006909336236166471,10,0.6667972575905975,0.6481880509304603,0.6537406972189581,0.6519780650215433,0.6517822169996083,0.6544972575522335,0.006409153592900576
0.001600360870361328,4.986804856930638e-05,0.0,0.0,7,2,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.011038684844970703,0.00915808001926817,0.43409276008605957,0.2169670968971612,7,2,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'scaler': MaxAbsScaler()}",0.6280344557556774,0.6382145653876272,0.6230407523510971,0.6418495297805643,0.6261755485893417,0.6314629703728615,0.007267873823565828,6,0.677179236043095,0.6705190989226248,0.6696043869956914,0.6731296513905209,0.6745005875440658,0.6729865921791996,0.002735644178135466
0.002080869674682617,0.0009226230658047199,0.0,0.0,7,3,StandardScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': StandardScaler()}",,,,,,,,19,,,,,,,
0.005095195770263672,0.0003236689493492032,0.0,0.0,7,3,MaxAbsScaler(),"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'scaler': MaxAbsScaler()}",,,,,,,,19,,,,,,,
