mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_scaler,param_classifier__solver,param_classifier__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0026468753814697264,0.0001946851664457248,0.0,0.0,0.1,l2,StandardScaler(),,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.20476822853088378,0.0529706110292369,0.002025890350341797,9.69851379723737e-05,0.1,l2,MaxAbsScaler(),,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'scaler': MaxAbsScaler()}",0.6397807361002349,0.6303837118245889,0.6269592476489029,0.6363636363636364,0.6347962382445141,0.6336567140363754,0.004509948772105508,10,0.6499510284035259,0.6472086190009795,0.6504112808460635,0.6470818644731688,0.6504112808460635,0.6490128147139601,0.0015346237959655475
0.002123308181762695,0.0002286803530950472,0.0,0.0,1,l2,StandardScaler(),,,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.4049083232879639,0.04110811088068345,0.0019900321960449217,8.266139585781116e-05,1,l2,MaxAbsScaler(),,,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'scaler': MaxAbsScaler()}",0.6624902114330462,0.6515270164447925,0.6449843260188087,0.6567398119122257,0.664576802507837,0.6560636336633421,0.007177243430441156,4,0.7604309500489715,0.7584720861900098,0.7593027810419115,0.7594986290638465,0.7573443008225617,0.7590097494334602,0.0010399502723678143
0.0016121864318847656,2.0777190863938282e-05,0.0,0.0,10,l2,StandardScaler(),,,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.39968719482421877,0.04876575047733137,0.0020132064819335938,9.979576322714811e-05,10,l2,MaxAbsScaler(),,,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'scaler': MaxAbsScaler()}",0.6405638214565388,0.6342991386061081,0.6214733542319749,0.6371473354231975,0.6410658307210031,0.6349098960877644,0.007152373309718994,7,0.811949069539667,0.8072477962781587,0.8127692910301606,0.8070896983940462,0.8082647865256561,0.8094641283535378,0.002411949391610587
0.0016499996185302735,0.00014039324946769273,0.0,0.0,0.1,l1,StandardScaler(),liblinear,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.04582901000976562,0.002210934533279821,0.0018466949462890626,0.00014148800672993228,0.1,l1,MaxAbsScaler(),liblinear,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': MaxAbsScaler()}",0.6374314800313234,0.6225528582615505,0.6261755485893417,0.6363636363636364,0.6246081504702194,0.6294263347432143,0.006216682300185155,11,0.6301665034280117,0.6301665034280117,0.6353309831570702,0.6320015667841755,0.6331766549157853,0.6321684423426108,0.0019525123960376675
0.001560354232788086,0.00011048632853095095,0.0,0.0,1,l1,StandardScaler(),liblinear,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.10660285949707031,0.019807311366037174,0.0017382144927978516,9.673327837018528e-05,1,l1,MaxAbsScaler(),liblinear,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': MaxAbsScaler()}",0.6491777603758809,0.658574784651527,0.6489028213166145,0.6575235109717869,0.6598746081504702,0.6548106970932559,0.004770825541464196,5,0.6944172380019589,0.6908912830558276,0.6919310614962789,0.691147669408539,0.6938895417156287,0.6924553587356466,0.0014378541497173634
0.001550436019897461,0.00012494698637559388,0.0,0.0,10,l1,StandardScaler(),liblinear,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
1.0116752147674561,0.14129642508397278,0.0018891334533691407,0.00017382683792836555,10,l1,MaxAbsScaler(),liblinear,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear', 'scaler': MaxAbsScaler()}",0.6296006264682851,0.6327329678935004,0.6206896551724138,0.6300940438871473,0.6332288401253918,0.6292692267093477,0.004518301413799115,12,0.8137120470127326,0.8078354554358472,0.8098315707011359,0.8059146102624364,0.8096357226792009,0.8093858812182706,0.0025857421568103328
0.0015540122985839844,0.000126308843904603,0.0,0.0,0.1,elasticnet,StandardScaler(),saga,0.4,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'scaler': StandardScaler()}",,,,,,,,16,,,,,,,
0.820035171508789,0.06529223804583693,0.0019268035888671876,0.0001288841178154681,0.1,elasticnet,MaxAbsScaler(),saga,0.4,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'scaler': MaxAbsScaler()}",0.6303837118245889,0.6225528582615505,0.6167711598746082,0.6316614420062696,0.6246081504702194,0.6251954644874473,0.0054226190966202925,15,0.6268364348677767,0.6266405484818806,0.6294555424990208,0.6276929103016059,0.6302389345867607,0.628172874147409,0.0014337573731939498
