mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_scaler,param_classifier__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0032616615295410155,0.0005297501722156098,0.0,0.0,0.1,rbf,StandardScaler(),,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.138511562347412,0.06534337964233472,0.3049921035766602,0.007516502066535559,0.1,rbf,MaxAbsScaler(),,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.6045418950665623,0.6037588097102584,0.6073667711598746,0.6081504702194357,0.6018808777429467,0.6051397647798156,0.0023198592404805336,19,0.6078354554358472,0.606464250734574,0.6055620838229534,0.6083039561300431,0.608499804151978,0.6073331100550792,0.0011355631670934624
0.0015320777893066406,6.689007342453336e-05,0.0,0.0,0.01,rbf,StandardScaler(),,"{'classifier__C': 0.01, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.052095651626587,0.06965048665555779,0.2980018615722656,0.0033807069135263802,0.01,rbf,MaxAbsScaler(),,"{'classifier__C': 0.01, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.5998433829287392,0.5998433829287392,0.6003134796238244,0.6003134796238244,0.6003134796238244,0.6001254409457903,0.00023029940654551456,22,0.6001958863858962,0.6001958863858962,0.600078339208774,0.600078339208774,0.600078339208774,0.6001253580796229,5.758612093078997e-05
0.0018959522247314453,0.0005017285337012622,0.0,0.0,1,rbf,StandardScaler(),,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.2893393516540526,0.09235312756838954,0.3105303764343262,0.009734691114001569,1,rbf,MaxAbsScaler(),,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.6405638214565388,0.6483946750195771,0.6520376175548589,0.6496865203761756,0.646551724137931,0.6474468717090163,0.0038772922159953354,2,0.7774730656219393,0.7704211557296767,0.7698785742264003,0.7765374069721895,0.7718370544457501,0.7732294513991913,0.0031624200674463766
0.0015738487243652343,0.00012158706124535876,0.0,0.0,10,rbf,StandardScaler(),,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.5327810287475585,0.13037627899151702,0.3168662071228027,0.017663649983320196,10,rbf,MaxAbsScaler(),,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.624902114330462,0.6413469068128426,0.6449843260188087,0.6371473354231975,0.6347962382445141,0.636635384165965,0.006829603920537418,5,0.8534769833496572,0.8472086190009794,0.8511555033294164,0.8493928711320016,0.8499804151978065,0.8502428784019722,0.0020635139193080137
0.0015096664428710938,3.9490351071654146e-05,0.0,0.0,100,rbf,StandardScaler(),,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.4490793228149412,0.07761849411541356,0.31050930023193357,0.020183927302216863,100,rbf,MaxAbsScaler(),,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'scaler': MaxAbsScaler()}",0.6256851996867658,0.6350822239624119,0.6410658307210031,0.6363636363636364,0.6316614420062696,0.6339716665480173,0.005124152479360594,6,0.8548481880509304,0.8481880509304603,0.8523305914610263,0.8499804151978065,0.8509596553074814,0.851261380189541,0.002244355824142894
0.0015167236328125,6.78205273870994e-05,0.0,0.0,0.1,poly,StandardScaler(),2,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.344233989715576,0.10308498407513143,0.2859771728515625,0.021907841173997435,0.1,poly,MaxAbsScaler(),2,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.5998433829287392,0.6037588097102584,0.6026645768025078,0.6018808777429467,0.6010971786833855,0.6018489651735676,0.0013342630897439974,21,0.6127326150832517,0.6150832517140059,0.6110458284371327,0.6106541323932628,0.6145710928319624,0.6128173840919231,0.0017908044873911244
0.0019047260284423828,0.00039578179272900906,0.0,0.0,0.1,poly,StandardScaler(),3,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
2.70662317276001,0.1336233222480383,0.2695960521697998,0.0066069790024775405,0.1,poly,MaxAbsScaler(),3,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly', 'scaler': MaxAbsScaler()}",0.5998433829287392,0.5998433829287392,0.6003134796238244,0.6003134796238244,0.6003134796238244,0.6001254409457903,0.00023029940654551456,22,0.6331047992164545,0.6305582761998041,0.6282804543674109,0.6316098707403055,0.6302389345867607,0.6307584670221471,0.0015925263006392658
0.0015423297882080078,9.840156060918366e-05,0.0,0.0,0.1,poly,StandardScaler(),4,"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__kernel': 'poly', 'scaler': StandardScaler()}",,,,,,,,31,,,,,,,
